id,sku,ean,nazwa,producent,grupa,aktywny,koniec_zycia,stan,rezerwacje,ilosc_min,moq,order_increment,czas_dostawy_dni
1001,SKU-CHAIR-01,5900001000001,Krzesło ogrodowe Graphite,GardenPro,Meble,1,0,40,5,20,12,12,90
1002,SKU-TABLE-02,5900001000002,Stół teak 180,GardenPro,Meble,1,0,8,2,6,4,2,120
1003,SKU-UMBR-03,5900001000003,Parasol 3m ecru,ShadeCo,Cień,1,0,25,0,15,6,6,60
1004,SKU-CUSH-04,5900001000004,Poduszka siedzisko navy,TextileX,Tekstylia,1,0,120,10,50,24,12,45
1005,SKU-LIGHT-05,5900001000005,Lampa solarna path,LightUp,Oświetlenie,1,0,60,0,30,20,10,75
1006,SKU-RARE-06,5900001000006,Rzeźba ogrodowa Limited,ArtStone,Dekoracje,1,0,3,0,2,1,1,150
1007,SKU-EOL-07,5900001000007,Hamak old model,RestLine,Relaks,0,1,15,0,0,5,5,90
1008,SKU-POT-08,5900001000008,Doniczka cement 40,ClayWorks,Ceramika,1,0,80,8,40,16,8,30
1009,SKU-GRILL-09,5900001000009,Grill gazowy 3B,FlameKit,Grill,1,0,12,1,8,2,1,100
1010,SKU-SEAS-10,5900001000010,Plaid flees autumn,TextileX,Tekstylia,1,0,35,0,20,10,10,60
