id,data,ilosc,wartosc_netto,koszt
1002,2025-07-20,2,178.0,110.0
1009,2025-07-20,3,930.0,570.0
1002,2025-07-21,2,178.0,110.0
1004,2025-07-21,5,47.5,20.0
1008,2025-07-21,2,28.0,13.0
1010,2025-07-21,1,16.0,8.0
1003,2025-07-22,4,180.0,112.0
1008,2025-07-23,3,42.0,19.5
1001,2025-07-24,2,24.0,14.0
1004,2025-07-24,4,38.0,16.0
1008,2025-07-24,3,42.0,19.5
1010,2025-07-24,1,16.0,8.0
1001,2025-07-26,3,36.0,21.0
1003,2025-07-26,2,90.0,56.0
1005,2025-07-27,1,18.0,10.0
1008,2025-07-27,1,14.0,6.5
1001,2025-07-28,2,24.0,14.0
1004,2025-07-28,4,38.0,16.0
1005,2025-07-28,1,18.0,10.0
1010,2025-07-28,4,64.0,32.0
1004,2025-07-29,3,28.5,12.0
1004,2025-07-31,3,28.5,12.0
1006,2025-07-31,4,880.0,480.0
1010,2025-07-31,1,16.0,8.0
1003,2025-08-01,1,45.0,28.0
1003,2025-08-02,2,90.0,56.0
1004,2025-08-02,3,28.5,12.0
1001,2025-08-03,1,12.0,7.0
1005,2025-08-03,2,36.0,20.0
1008,2025-08-03,2,28.0,13.0
1001,2025-08-04,2,24.0,14.0
1003,2025-08-04,3,135.0,84.0
1001,2025-08-05,1,12.0,7.0
1001,2025-08-06,2,24.0,14.0
1004,2025-08-06,3,28.5,12.0
1010,2025-08-06,3,48.0,24.0
1001,2025-08-08,1,12.0,7.0
1004,2025-08-08,6,57.0,24.0
1001,2025-08-09,1,12.0,7.0
1005,2025-08-09,5,90.0,50.0
1010,2025-08-09,2,32.0,16.0
1001,2025-08-10,2,24.0,14.0
1004,2025-08-10,5,47.5,20.0
1005,2025-08-10,3,54.0,30.0
1003,2025-08-11,2,90.0,56.0
1004,2025-08-11,3,28.5,12.0
1008,2025-08-11,2,28.0,13.0
1002,2025-08-12,1,89.0,55.0
1003,2025-08-12,1,45.0,28.0
1008,2025-08-12,4,56.0,26.0
1004,2025-08-13,4,38.0,16.0
1008,2025-08-13,1,14.0,6.5
1010,2025-08-13,1,16.0,8.0
1003,2025-08-14,1,45.0,28.0
1005,2025-08-14,1,18.0,10.0
1008,2025-08-14,2,28.0,13.0
1001,2025-08-15,2,24.0,14.0
1006,2025-08-15,1,220.0,120.0
1008,2025-08-15,4,56.0,26.0
1003,2025-08-16,1,45.0,28.0
1004,2025-08-16,5,47.5,20.0
1008,2025-08-16,1,14.0,6.5
1010,2025-08-16,2,32.0,16.0
1003,2025-08-17,1,45.0,28.0
1010,2025-08-17,2,32.0,16.0
1005,2025-08-18,1,18.0,10.0
1008,2025-08-18,3,42.0,19.5
1004,2025-08-19,2,19.0,8.0
1005,2025-08-19,2,36.0,20.0
1005,2025-08-20,3,54.0,30.0
1008,2025-08-20,3,42.0,19.5
1004,2025-08-21,3,28.5,12.0
1008,2025-08-21,2,28.0,13.0
1004,2025-08-22,3,28.5,12.0
1005,2025-08-22,1,18.0,10.0
1001,2025-08-23,1,12.0,7.0
1004,2025-08-23,4,38.0,16.0
1002,2025-08-24,3,267.0,165.0
1004,2025-08-24,2,19.0,8.0
1008,2025-08-24,1,14.0,6.5
1003,2025-08-25,1,45.0,28.0
1004,2025-08-25,3,28.5,12.0
1001,2025-08-26,2,24.0,14.0
1003,2025-08-26,3,135.0,84.0
1004,2025-08-26,3,28.5,12.0
1008,2025-08-26,1,14.0,6.5
1010,2025-08-26,2,32.0,16.0
1001,2025-08-27,1,12.0,7.0
1003,2025-08-27,3,135.0,84.0
1004,2025-08-27,3,28.5,12.0
1005,2025-08-27,2,36.0,20.0
1010,2025-08-29,1,16.0,8.0
1001,2025-08-30,2,24.0,14.0
1003,2025-08-30,3,135.0,84.0
1004,2025-08-30,3,28.5,12.0
1005,2025-08-30,1,18.0,10.0
1008,2025-08-31,3,42.0,19.5
1004,2025-09-01,4,38.0,16.0
1008,2025-09-01,1,14.0,6.5
1004,2025-09-02,4,38.0,16.0
1008,2025-09-02,1,14.0,6.5
1010,2025-09-02,2,32.0,16.0
1002,2025-09-03,1,89.0,55.0
1010,2025-09-03,2,32.0,16.0
1001,2025-09-04,1,12.0,7.0
1010,2025-09-04,1,16.0,8.0
1001,2025-09-05,3,36.0,21.0
1003,2025-09-05,3,135.0,84.0
1010,2025-09-05,3,48.0,24.0
1001,2025-09-06,1,12.0,7.0
1002,2025-09-06,1,89.0,55.0
1004,2025-09-06,5,47.5,20.0
1010,2025-09-06,2,32.0,16.0
1008,2025-09-07,1,14.0,6.5
1003,2025-09-08,3,135.0,84.0
1010,2025-09-08,1,16.0,8.0
1004,2025-09-09,3,28.5,12.0
1008,2025-09-09,1,14.0,6.5
1010,2025-09-09,1,16.0,8.0
1002,2025-09-10,2,178.0,110.0
1004,2025-09-10,4,38.0,16.0
1010,2025-09-10,4,64.0,32.0
1004,2025-09-11,4,38.0,16.0
1009,2025-09-11,1,310.0,190.0
1010,2025-09-11,1,16.0,8.0
1004,2025-09-12,3,28.5,12.0
1010,2025-09-12,2,32.0,16.0
1001,2025-09-13,2,24.0,14.0
1004,2025-09-13,4,38.0,16.0
1010,2025-09-13,3,48.0,24.0
1001,2025-09-14,2,24.0,14.0
1002,2025-09-14,2,178.0,110.0
1004,2025-09-14,5,47.5,20.0
1004,2025-09-15,3,28.5,12.0
1005,2025-09-15,3,54.0,30.0
1009,2025-09-15,1,310.0,190.0
1001,2025-09-16,3,36.0,21.0
1004,2025-09-16,5,47.5,20.0
1001,2025-09-18,2,24.0,14.0
1003,2025-09-18,3,135.0,84.0
1004,2025-09-18,5,47.5,20.0
1008,2025-09-18,2,28.0,13.0
1004,2025-09-20,4,38.0,16.0
1008,2025-09-20,3,42.0,19.5
1004,2025-09-21,4,38.0,16.0
1008,2025-09-21,2,28.0,13.0
1009,2025-09-21,4,1240.0,760.0
1004,2025-09-22,3,28.5,12.0
1005,2025-09-22,2,36.0,20.0
1003,2025-09-23,1,45.0,28.0
1004,2025-09-23,3,28.5,12.0
1004,2025-09-24,5,47.5,20.0
1004,2025-09-25,2,19.0,8.0
1008,2025-09-25,3,42.0,19.5
1003,2025-09-26,3,135.0,84.0
1004,2025-09-26,3,28.5,12.0
1005,2025-09-26,1,18.0,10.0
1001,2025-09-27,1,12.0,7.0
1010,2025-09-27,1,16.0,8.0
1005,2025-09-28,1,18.0,10.0
1008,2025-09-29,1,14.0,6.5
1003,2025-09-30,1,45.0,28.0
1009,2025-09-30,2,620.0,380.0
1004,2025-10-02,2,19.0,8.0
1004,2025-10-04,5,47.5,20.0
1010,2025-10-04,2,32.0,16.0
1001,2025-10-06,1,12.0,7.0
1003,2025-10-06,1,45.0,28.0
1004,2025-10-06,5,47.5,20.0
1005,2025-10-06,1,18.0,10.0
1008,2025-10-06,1,14.0,6.5
1010,2025-10-06,2,32.0,16.0
1004,2025-10-07,2,19.0,8.0
1001,2025-10-08,2,24.0,14.0
1004,2025-10-08,2,19.0,8.0
1010,2025-10-08,1,16.0,8.0
1004,2025-10-09,2,19.0,8.0
1001,2025-10-11,1,12.0,7.0
1005,2025-10-11,1,18.0,10.0
1008,2025-10-11,4,56.0,26.0
1004,2025-10-12,4,38.0,16.0
1008,2025-10-12,1,14.0,6.5
1001,2025-10-13,4,48.0,28.0
1009,2025-10-13,1,310.0,190.0
1008,2025-10-14,2,28.0,13.0
1003,2025-10-15,2,90.0,56.0
1001,2025-10-16,1,12.0,7.0
1003,2025-10-16,2,90.0,56.0
1004,2025-10-16,3,28.5,12.0
1001,2025-10-17,1,12.0,7.0
1005,2025-10-17,1,18.0,10.0
1009,2025-10-17,3,930.0,570.0
1004,2025-10-18,4,38.0,16.0
1001,2025-10-19,2,24.0,14.0
1004,2025-10-19,3,28.5,12.0
1008,2025-10-19,2,28.0,13.0
1001,2025-10-20,2,24.0,14.0
1003,2025-10-20,2,90.0,56.0
1004,2025-10-20,3,28.5,12.0
1008,2025-10-20,2,28.0,13.0
1010,2025-10-20,1,16.0,8.0
1001,2025-10-21,2,24.0,14.0
1002,2025-10-22,2,178.0,110.0
1004,2025-10-22,1,9.5,4.0
1003,2025-10-23,3,135.0,84.0
1004,2025-10-23,4,38.0,16.0
1005,2025-10-23,1,18.0,10.0
1001,2025-10-25,1,12.0,7.0
1004,2025-10-25,5,47.5,20.0
1008,2025-10-25,2,28.0,13.0
1010,2025-10-25,2,32.0,16.0
1001,2025-10-26,1,12.0,7.0
1008,2025-10-26,3,42.0,19.5
1008,2025-10-27,2,28.0,13.0
1010,2025-10-27,4,64.0,32.0
1001,2025-10-29,3,36.0,21.0
1004,2025-10-29,4,38.0,16.0
1008,2025-10-29,3,42.0,19.5
1004,2025-10-30,3,28.5,12.0
1008,2025-10-30,1,14.0,6.5
1003,2025-10-31,3,135.0,84.0
1005,2025-10-31,3,54.0,30.0
1010,2025-10-31,2,32.0,16.0
1004,2025-11-01,3,28.5,12.0
1008,2025-11-01,2,28.0,13.0
1010,2025-11-01,2,32.0,16.0
1001,2025-11-02,2,24.0,14.0
1002,2025-11-02,3,267.0,165.0
1004,2025-11-02,2,19.0,8.0
1009,2025-11-02,3,930.0,570.0
1001,2025-11-03,4,48.0,28.0
1008,2025-11-03,2,28.0,13.0
1009,2025-11-03,1,310.0,190.0
1005,2025-11-04,4,72.0,40.0
1001,2025-11-05,1,12.0,7.0
1004,2025-11-05,4,38.0,16.0
1001,2025-11-06,2,24.0,14.0
1005,2025-11-06,2,36.0,20.0
1010,2025-11-07,1,16.0,8.0
1001,2025-11-08,2,24.0,14.0
1002,2025-11-08,1,89.0,55.0
1004,2025-11-08,3,28.5,12.0
1003,2025-11-10,4,180.0,112.0
1004,2025-11-10,5,47.5,20.0
1008,2025-11-10,2,28.0,13.0
1001,2025-11-11,3,36.0,21.0
1004,2025-11-11,3,28.5,12.0
1008,2025-11-11,3,42.0,19.5
1009,2025-11-11,1,310.0,190.0
1004,2025-11-12,3,28.5,12.0
1008,2025-11-12,4,56.0,26.0
1004,2025-11-14,3,28.5,12.0
1008,2025-11-14,3,42.0,19.5
1010,2025-11-14,1,16.0,8.0
1001,2025-11-15,2,24.0,14.0
1005,2025-11-15,1,18.0,10.0
1001,2025-11-16,3,36.0,21.0
1004,2025-11-16,2,19.0,8.0
1008,2025-11-16,1,14.0,6.5
1004,2025-11-17,4,38.0,16.0
1001,2025-11-18,1,12.0,7.0
1005,2025-11-18,3,54.0,30.0
1001,2025-11-19,3,36.0,21.0
1004,2025-11-19,2,19.0,8.0
1010,2025-11-19,1,16.0,8.0
1001,2025-11-20,2,24.0,14.0
1002,2025-11-20,1,89.0,55.0
1004,2025-11-20,3,28.5,12.0
1005,2025-11-20,4,72.0,40.0
1010,2025-11-20,1,16.0,8.0
1006,2025-11-21,3,660.0,360.0
1004,2025-11-22,4,38.0,16.0
1005,2025-11-22,1,18.0,10.0
1008,2025-11-22,3,42.0,19.5
1001,2025-11-23,1,12.0,7.0
